date,morning,daytime,evening
01.06.2019,,15.562,
02.06.2019,,12.25,
03.06.2019,,,23.938
04.06.2019,,25.273,23.979
05.06.2019,,28.598,24.952
06.06.2019,,30.541,25.124
07.06.2019,23.041,31.133,23.799
08.06.2019,25.239,31.103,25.948
09.06.2019,25.794,20.038,17.017
10.06.2019,,20.885,18.46
11.06.2019,,22.895,18.671
12.06.2019,14.536,15.549,12.836
13.06.2019,,,16.143
14.06.2019,,15.343,14.296
15.06.2019,,16.309,15.233
16.06.2019,,22.286,18.341
17.06.2019,,,
18.06.2019,,23.065,18.596
19.06.2019,,24.474,22.004
20.06.2019,23.89,29.044,26.021
21.06.2019,,27.492,25.048
22.06.2019,19.625,23.828,16.827
23.06.2019,17.844,21.893,18.343
24.06.2019,15.781,23.977,19.648
25.06.2019,,23.794,19.039
26.06.2019,16.271,20.06,17.362
27.06.2019,14.46,21.112,17.071
28.06.2019,13.375,20.578,13.627
29.06.2019,15.161,19.184,15.185
30.06.2019,15.161,20.747,14.669
01.07.2019,,,14.0
02.07.2019,25.13,19.963,13.883
03.07.2019,23.807,16.627,13.552
04.07.2019,18.187,18.25,11.06
05.07.2019,20.656,14.648,10.473
06.07.2019,14.646,16.346,8.585
07.07.2019,18.416,19.203,16.959
08.07.2019,,21.711,15.966
09.07.2019,13.333,13.999,11.847
10.07.2019,,,12.711
11.07.2019,,15.568,12.219
12.07.2019,,16.312,12.064
13.07.2019,,16.943,12.393
14.07.2019,11.479,18.822,14.131
15.07.2019,12.328,19.234,16.502
16.07.2019,13.386,21.979,18.1
17.07.2019,14.828,19.333,16.154
18.07.2019,15.437,17.111,15.506
19.07.2019,15.161,17.916,16.491
20.07.2019,16.088,23.672,20.579
21.07.2019,17.26,26.302,21.018
22.07.2019,16.62,26.784,21.339
23.07.2019,17.338,26.938,21.71
24.07.2019,15.969,25.236,17.227
25.07.2019,,24.361,20.946
26.07.2019,25.13,28.552,25.587
27.07.2019,22.094,32.072,28.171
28.07.2019,,21.396,15.727
29.07.2019,9.104,18.716,12.835
30.07.2019,10.864,16.343,10.494
31.07.2019,8.854,11.412,11.131
01.08.2019,11.463,16.568,13.573
02.08.2019,13.307,17.932,14.785
03.08.2019,11.047,16.213,11.844
04.08.2019,10.515,16.822,13.912
05.08.2019,11.276,21.284,13.377
06.08.2019,9.392,22.398,13.171
07.08.2019,9.094,19.62,14.087
08.08.2019,13.307,22.425,18.246
09.08.2019,14.859,20.093,16.956
10.08.2019,13.995,21.505,15.671
11.08.2019,12.656,20.255,17.283
12.08.2019,15.39,22.034,18.093
13.08.2019,15.396,24.273,18.35
14.08.2019,13.094,22.419,16.514
15.08.2019,12.885,21.015,15.604
16.08.2019,12.599,22.51,15.596
17.08.2019,10.708,23.364,18.608
18.08.2019,12.151,23.13,18.362
19.08.2019,13.177,22.895,20.612
20.08.2019,16.224,24.239,18.212
21.08.2019,12.708,20.434,16.46
22.08.2019,14.26,21.674,16.793
23.08.2019,13.62,20.729,17.381
24.08.2019,15.302,20.383,15.906
25.08.2019,11.515,22.288,15.654
26.08.2019,12.375,19.557,17.91
27.08.2019,13.635,25.07,17.987
28.08.2019,10.953,23.568,18.879
29.08.2019,12.396,24.378,18.998
30.08.2019,11.411,25.083,19.128
31.08.2019,17.344,23.023,16.975
